tag,date,question_count,question_pct,unanswered_count,unanswered_pct
amazon-elasticache,9/21/2018,434.00,2.63e-5,179.00,3.73e-5
amazon-rds-aurora,9/21/2018,322.00,1.95e-5,148.00,3.09e-5
amazon-s3,9/21/2018,25416.00,1.54E-03,10024.00,2.09E-03
amazon-ec2,9/21/2018,22738.00,1.38E-03,8498.00,1.77E-03
ios8,9/21/2018,9400.00,5.69996e-4,3213.00,6.6999e-4
amazon-route53,9/21/2018,1095.00,6.64e-5,389.00,8.11e-5
dropbox-api,9/21/2018,2072.00,1.25641e-4,831.00,1.73283e-4
amazon-vpc,9/21/2018,718.00,4.35e-5,214.00,4.46e-5
amazon-kinesis,9/21/2018,760.00,4.61e-5,375.00,7.82e-5
amazon-web-services,9/21/2018,63824.00,3.87E-03,25125.00,5.24E-03
ios,9/21/2018,577222.00,3.50E-02,189279.00,3.95E-02
google-spreadsheet,9/21/2018,15658.00,9.49464e-4,5978.00,1.25E-03
sql-server,9/21/2018,242291.00,1.47E-02,60822.00,1.27E-02
amazon-emr,9/21/2018,3045.00,1.84642e-4,1242.00,2.58987e-4
dropbox,9/21/2018,3072.00,1.86279e-4,1172.00,2.4439e-4
cognos,9/21/2018,850.00,5.15e-5,381.00,7.94e-5
amazon-elb,9/21/2018,1451.00,8.8e-5,562.00,1.17191e-4
amazon-redshift,9/21/2018,3487.00,2.11444e-4,1262.00,2.63158e-4
excel,9/21/2018,177495.00,1.08E-02,61827.00,1.29E-02
actionscript,9/21/2018,9100.00,5.51805e-4,2443.00,5.09426e-4
applepayjs,9/21/2018,30.00,1.82e-6,19.00,3.96e-6
actionscript-3,9/21/2018,41151.00,2.50E-03,11032.00,2.30E-03
amazon,9/21/2018,3641.00,2.20782e-4,1414.00,2.94853e-4
amazon-lambda,9/21/2018,7990.00,4.84495e-4,7990.00,1.67E-03
amazon-sns,9/21/2018,1397.00,8.47e-5,599.00,1.24906e-4
amazon-ecs,9/21/2018,1072.00,6.5e-5,510.00,1.06347e-4
amazon-glacier,9/21/2018,192.00,1.16e-5,59.00,1.23e-5
